Tree	Node A-upos	Node B-upos	Node C-upos	Node D-upos	Node E-upos	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Root node
NOUN >punct PUNCT >list (PROPN >flat PROPN)	NOUN	PUNCT	PROPN	PROPN		1	39.7630	ABCD	pattern {A [upos=NOUN]; B [upos=PUNCT]; C [upos=PROPN]; D [upos=PROPN]; A -[punct]-> B; A -[list]-> C; C -[flat]-> D; A << B; A << C; C << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DPROPN%5D%3B%20D%20%5Bupos%3DPROPN%5D%3B%20A%20-%5Bpunct%5D-%3E%20B%3B%20A%20-%5Blist%5D-%3E%20C%3B%20C%20-%5Bflat%5D-%3E%20D%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3C%3C%20D%7D	4	NOUN
ADP <case DET <det PROPN <compound NOUN <compound NOUN	ADP	DET	PROPN	NOUN	NOUN	1	39.7630	ABCDE	pattern {E [upos=NOUN]; A [upos=ADP]; B [upos=DET]; C [upos=PROPN]; D [upos=NOUN]; E -[case]-> A; E -[det]-> B; E -[compound]-> C; E -[compound]-> D; E >> A; E >> B; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DPROPN%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20E%20-%5Bcase%5D-%3E%20A%3B%20E%20-%5Bdet%5D-%3E%20B%3B%20E%20-%5Bcompound%5D-%3E%20C%3B%20E%20-%5Bcompound%5D-%3E%20D%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
PUNCT <punct (ADJ >fixed ADP) <case NOUN >punct PUNCT	PUNCT	ADJ	ADP	NOUN	PUNCT	1	39.7630	ABCDE	pattern {D [upos=NOUN]; A [upos=PUNCT]; B [upos=ADJ]; C [upos=ADP]; E [upos=PUNCT]; D -[punct]-> A; D -[case]-> B; B -[fixed]-> C; D -[punct]-> E; D >> A; D >> B; B << C; D << E}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPUNCT%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20E%20%5Bupos%3DPUNCT%5D%3B%20D%20-%5Bpunct%5D-%3E%20A%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20B%20-%5Bfixed%5D-%3E%20C%3B%20D%20-%5Bpunct%5D-%3E%20E%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20B%20%3C%3C%20C%3B%20D%20%3C%3C%20E%7D	5	NOUN
NOUN >punct PUNCT >list NOUN	NOUN	PUNCT	NOUN			1	39.7630	ABC	pattern {A [upos=NOUN]; B [upos=PUNCT]; C [upos=NOUN]; A -[punct]-> B; A -[list]-> C; A << B; A << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20A%20-%5Bpunct%5D-%3E%20B%3B%20A%20-%5Blist%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%7D	3	NOUN
NOUN >punct PUNCT >list (NOUN >punct PUNCT >list NOUN)	NOUN	PUNCT	NOUN	PUNCT	NOUN	1	39.7630	ABCDE	pattern {A [upos=NOUN]; B [upos=PUNCT]; C [upos=NOUN]; D [upos=PUNCT]; E [upos=NOUN]; A -[punct]-> B; A -[list]-> C; C -[punct]-> D; C -[list]-> E; A << B; A << C; C << D; C << E}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20D%20%5Bupos%3DPUNCT%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20A%20-%5Bpunct%5D-%3E%20B%3B%20A%20-%5Blist%5D-%3E%20C%3B%20C%20-%5Bpunct%5D-%3E%20D%3B%20C%20-%5Blist%5D-%3E%20E%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3C%3C%20D%3B%20C%20%3C%3C%20E%7D	5	NOUN
VERB <case ADP <case ADJ <amod NOUN <compound NOUN	VERB	ADP	ADJ	NOUN	NOUN	1	39.7630	ABCDE	pattern {E [upos=NOUN]; A [upos=VERB]; B [upos=ADP]; C [upos=ADJ]; D [upos=NOUN]; E -[case]-> A; E -[case]-> B; E -[amod]-> C; E -[compound]-> D; E >> A; E >> B; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DVERB%5D%3B%20B%20%5Bupos%3DADP%5D%3B%20C%20%5Bupos%3DADJ%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20E%20-%5Bcase%5D-%3E%20A%3B%20E%20-%5Bcase%5D-%3E%20B%3B%20E%20-%5Bamod%5D-%3E%20C%3B%20E%20-%5Bcompound%5D-%3E%20D%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
PRON <nmod:poss NOUN >nmod (ADP <case DET <det NOUN)	PRON	NOUN	ADP	DET	NOUN	1	39.7630	ABCDE	pattern {B [upos=NOUN]; A [upos=PRON]; E [upos=NOUN]; C [upos=ADP]; D [upos=DET]; B -[nmod:poss]-> A; B -[nmod]-> E; E -[case]-> C; E -[det]-> D; B >> A; B << E; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPRON%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20D%20%5Bupos%3DDET%5D%3B%20B%20-%5Bnmod%3Aposs%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bdet%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
(NUM <nummod NOUN) <compound NOUN	NUM	NOUN	NOUN			1	39.7630	ABC	pattern {C [upos=NOUN]; B [upos=NOUN]; A [upos=NUM]; C -[compound]-> B; B -[nummod]-> A; C >> B; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DNUM%5D%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D	3	NOUN
DET <det NOUN >appos NUM	DET	NOUN	NUM			1	39.7630	ABC	pattern {B [upos=NOUN]; A [upos=DET]; C [upos=NUM]; B -[det]-> A; B -[appos]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DNUM%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bappos%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
ADP <case NOUN >conj (CCONJ <cc ADJ <amod NOUN)	ADP	NOUN	CCONJ	ADJ	NOUN	1	39.7630	ABCDE	pattern {B [upos=NOUN]; A [upos=ADP]; E [upos=NOUN]; C [upos=CCONJ]; D [upos=ADJ]; B -[case]-> A; B -[conj]-> E; E -[cc]-> C; E -[amod]-> D; B >> A; B << E; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DCCONJ%5D%3B%20D%20%5Bupos%3DADJ%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20C%3B%20E%20-%5Bamod%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
(PROPN <compound PROPN <compound PROPN) <compound NOUN	PROPN	PROPN	PROPN	NOUN		1	39.7630	ABCD	pattern {D [upos=NOUN]; C [upos=PROPN]; A [upos=PROPN]; B [upos=PROPN]; D -[compound]-> C; C -[compound]-> A; C -[compound]-> B; D >> C; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DPROPN%5D%3B%20A%20%5Bupos%3DPROPN%5D%3B%20B%20%5Bupos%3DPROPN%5D%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20C%20-%5Bcompound%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	4	NOUN
DET <det NOUN >nmod (ADP <case NOUN <nummod PROPN)	DET	NOUN	ADP	NOUN	PROPN	1	39.7630	ABCDE	pattern {B [upos=NOUN]; A [upos=DET]; E [upos=PROPN]; C [upos=ADP]; D [upos=NOUN]; B -[det]-> A; B -[nmod]-> E; E -[case]-> C; E -[nummod]-> D; B >> A; B << E; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20E%20%5Bupos%3DPROPN%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bnummod%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
CCONJ <cc VERB <amod NOUN	CCONJ	VERB	NOUN			1	39.7630	ABC	pattern {C [upos=NOUN]; A [upos=CCONJ]; B [upos=VERB]; C -[cc]-> A; C -[amod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DVERB%5D%3B%20C%20-%5Bcc%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case PUNCT <punct DET <det PUNCT <punct NOUN	ADP	PUNCT	DET	PUNCT	NOUN	1	39.7630	ABCDE	pattern {E [upos=NOUN]; A [upos=ADP]; B [upos=PUNCT]; C [upos=DET]; D [upos=PUNCT]; E -[case]-> A; E -[punct]-> B; E -[det]-> C; E -[punct]-> D; E >> A; E >> B; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DDET%5D%3B%20D%20%5Bupos%3DPUNCT%5D%3B%20E%20-%5Bcase%5D-%3E%20A%3B%20E%20-%5Bpunct%5D-%3E%20B%3B%20E%20-%5Bdet%5D-%3E%20C%3B%20E%20-%5Bpunct%5D-%3E%20D%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
PRON <nsubj AUX <cop PART <advmod NOUN	PRON	AUX	PART	NOUN		1	39.7630	ABCD	pattern {D [upos=NOUN]; A [upos=PRON]; B [upos=AUX]; C [upos=PART]; D -[nsubj]-> A; D -[cop]-> B; D -[advmod]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPRON%5D%3B%20B%20%5Bupos%3DAUX%5D%3B%20C%20%5Bupos%3DPART%5D%3B%20D%20-%5Bnsubj%5D-%3E%20A%3B%20D%20-%5Bcop%5D-%3E%20B%3B%20D%20-%5Badvmod%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
DET <det PUNCT <punct ADJ <amod PUNCT <punct NOUN	DET	PUNCT	ADJ	PUNCT	NOUN	1	39.7630	ABCDE	pattern {E [upos=NOUN]; A [upos=DET]; B [upos=PUNCT]; C [upos=ADJ]; D [upos=PUNCT]; E -[det]-> A; E -[punct]-> B; E -[amod]-> C; E -[punct]-> D; E >> A; E >> B; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DADJ%5D%3B%20D%20%5Bupos%3DPUNCT%5D%3B%20E%20-%5Bdet%5D-%3E%20A%3B%20E%20-%5Bpunct%5D-%3E%20B%3B%20E%20-%5Bamod%5D-%3E%20C%3B%20E%20-%5Bpunct%5D-%3E%20D%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
CCONJ <cc ADV <advmod PROPN <compound NOUN	CCONJ	ADV	PROPN	NOUN		1	39.7630	ABCD	pattern {D [upos=NOUN]; A [upos=CCONJ]; B [upos=ADV]; C [upos=PROPN]; D -[cc]-> A; D -[advmod]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DADV%5D%3B%20C%20%5Bupos%3DPROPN%5D%3B%20D%20-%5Bcc%5D-%3E%20A%3B%20D%20-%5Badvmod%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
ADP <case PROPN <compound ADJ <amod NOUN	ADP	PROPN	ADJ	NOUN		1	39.7630	ABCD	pattern {D [upos=NOUN]; A [upos=ADP]; B [upos=PROPN]; C [upos=ADJ]; D -[case]-> A; D -[compound]-> B; D -[amod]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DPROPN%5D%3B%20C%20%5Bupos%3DADJ%5D%3B%20D%20-%5Bcase%5D-%3E%20A%3B%20D%20-%5Bcompound%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
((ADJ >fixed ADP) <advmod NUM) <nummod NOUN	ADJ	ADP	NUM	NOUN		1	39.7630	ABCD	pattern {D [upos=NOUN]; C [upos=NUM]; A [upos=ADJ]; B [upos=ADP]; D -[nummod]-> C; C -[advmod]-> A; A -[fixed]-> B; D >> C; C >> A; A << B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DNUM%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20B%20%5Bupos%3DADP%5D%3B%20D%20-%5Bnummod%5D-%3E%20C%3B%20C%20-%5Badvmod%5D-%3E%20A%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20A%20%3C%3C%20B%7D	4	NOUN
ADV <advmod NOUN >nmod (ADP <case NOUN <compound NOUN)	ADV	NOUN	ADP	NOUN	NOUN	1	39.7630	ABCDE	pattern {B [upos=NOUN]; A [upos=ADV]; E [upos=NOUN]; C [upos=ADP]; D [upos=NOUN]; B -[advmod]-> A; B -[nmod]-> E; E -[case]-> C; E -[compound]-> D; B >> A; B << E; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADV%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bcompound%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
SCONJ <mark PRON <nsubj AUX <cop NOUN	SCONJ	PRON	AUX	NOUN		1	39.7630	ABCD	pattern {D [upos=NOUN]; A [upos=SCONJ]; B [upos=PRON]; C [upos=AUX]; D -[mark]-> A; D -[nsubj]-> B; D -[cop]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DSCONJ%5D%3B%20B%20%5Bupos%3DPRON%5D%3B%20C%20%5Bupos%3DAUX%5D%3B%20D%20-%5Bmark%5D-%3E%20A%3B%20D%20-%5Bnsubj%5D-%3E%20B%3B%20D%20-%5Bcop%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
ADJ <amod NOUN >nmod (ADP <case PRON)	ADJ	NOUN	ADP	PRON		1	39.7630	ABCD	pattern {B [upos=NOUN]; A [upos=ADJ]; D [upos=PRON]; C [upos=ADP]; B -[amod]-> A; B -[nmod]-> D; D -[case]-> C; B >> A; B << D; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20D%20%5Bupos%3DPRON%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D	4	NOUN
ADJ <amod NOUN <compound NOUN >nmod (ADP <case NOUN)	ADJ	NOUN	NOUN	ADP	NOUN	1	39.7630	ABCDE	pattern {C [upos=NOUN]; A [upos=ADJ]; B [upos=NOUN]; E [upos=NOUN]; D [upos=ADP]; C -[amod]-> A; C -[compound]-> B; C -[nmod]-> E; E -[case]-> D; C >> A; C >> B; C << E; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20D%20%5Bupos%3DADP%5D%3B%20C%20-%5Bamod%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20D%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D	5	NOUN
ADJ <amod NOUN >nmod (ADP <case PRON <nmod:poss NOUN)	ADJ	NOUN	ADP	PRON	NOUN	1	39.7630	ABCDE	pattern {B [upos=NOUN]; A [upos=ADJ]; E [upos=NOUN]; C [upos=ADP]; D [upos=PRON]; B -[amod]-> A; B -[nmod]-> E; E -[case]-> C; E -[nmod:poss]-> D; B >> A; B << E; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20D%20%5Bupos%3DPRON%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bnmod%3Aposs%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
ADJ <amod NOUN >nmod (ADP <case PUNCT <punct X)	ADJ	NOUN	ADP	PUNCT	X	1	39.7630	ABCDE	pattern {B [upos=NOUN]; A [upos=ADJ]; E [upos=X]; C [upos=ADP]; D [upos=PUNCT]; B -[amod]-> A; B -[nmod]-> E; E -[case]-> C; E -[punct]-> D; B >> A; B << E; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20E%20%5Bupos%3DX%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20D%20%5Bupos%3DPUNCT%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bpunct%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
PUNCT <punct CCONJ <cc NOUN <compound NOUN	PUNCT	CCONJ	NOUN	NOUN		1	39.7630	ABCD	pattern {D [upos=NOUN]; A [upos=PUNCT]; B [upos=CCONJ]; C [upos=NOUN]; D -[punct]-> A; D -[cc]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPUNCT%5D%3B%20B%20%5Bupos%3DCCONJ%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20D%20-%5Bpunct%5D-%3E%20A%3B%20D%20-%5Bcc%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
DET <det NOUN >nmod:npmod PRON	DET	NOUN	PRON			1	39.7630	ABC	pattern {B [upos=NOUN]; A [upos=DET]; C [upos=PRON]; B -[det]-> A; B -[nmod:npmod]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DPRON%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bnmod%3Anpmod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
ADP <case NUM <nummod NOUN >nmod:npmod DET	ADP	NUM	NOUN	DET		1	39.7630	ABCD	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=NUM]; D [upos=DET]; C -[case]-> A; C -[nummod]-> B; C -[nmod:npmod]-> D; C >> A; C >> B; C << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DNUM%5D%3B%20D%20%5Bupos%3DDET%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20C%20-%5Bnmod%3Anpmod%5D-%3E%20D%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20D%7D	4	NOUN
ADP <case DET <det VERB <amod NUM <nummod NOUN	ADP	DET	VERB	NUM	NOUN	1	39.7630	ABCDE	pattern {E [upos=NOUN]; A [upos=ADP]; B [upos=DET]; C [upos=VERB]; D [upos=NUM]; E -[case]-> A; E -[det]-> B; E -[amod]-> C; E -[nummod]-> D; E >> A; E >> B; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DVERB%5D%3B%20D%20%5Bupos%3DNUM%5D%3B%20E%20-%5Bcase%5D-%3E%20A%3B%20E%20-%5Bdet%5D-%3E%20B%3B%20E%20-%5Bamod%5D-%3E%20C%3B%20E%20-%5Bnummod%5D-%3E%20D%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
CCONJ <cc (NOUN <compound NOUN) <compound NOUN	CCONJ	NOUN	NOUN	NOUN		1	39.7630	ABCD	pattern {D [upos=NOUN]; A [upos=CCONJ]; C [upos=NOUN]; B [upos=NOUN]; D -[cc]-> A; D -[compound]-> C; C -[compound]-> B; D >> A; D >> C; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20D%20-%5Bcc%5D-%3E%20A%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20B%7D	4	NOUN
ADP <case ADP <case DET <det NOUN <compound NOUN	ADP	ADP	DET	NOUN	NOUN	1	39.7630	ABCDE	pattern {E [upos=NOUN]; A [upos=ADP]; B [upos=ADP]; C [upos=DET]; D [upos=NOUN]; E -[case]-> A; E -[case]-> B; E -[det]-> C; E -[compound]-> D; E >> A; E >> B; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DADP%5D%3B%20C%20%5Bupos%3DDET%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20E%20-%5Bcase%5D-%3E%20A%3B%20E%20-%5Bcase%5D-%3E%20B%3B%20E%20-%5Bdet%5D-%3E%20C%3B%20E%20-%5Bcompound%5D-%3E%20D%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
